description;population;start_date;end_date;location;zones;annee_scolaire
Vacances d'Hiver;-;2010-02-22T00:00:00+01:00;2010-03-08T00:00:00+01:00;Corse;Corse;2009-2010
Vacances de Noël;-;2010-12-20T00:00:00+01:00;2011-01-03T00:00:00+01:00;Corse;Corse;2010-2011
Vacances d'Été;Enseignants;2011-07-06T00:00:00+02:00;2011-09-08T00:00:00+02:00;Corse;Corse;2010-2011
Vacances d'Hiver;-;2012-02-20T00:00:00+01:00;2012-03-05T00:00:00+01:00;Corse;Corse;2011-2012
Vacances de Noël;-;2012-12-24T00:00:00+01:00;2013-01-07T00:00:00+01:00;Corse;Corse;2012-2013
Vacances de la Toussaint;-;2014-10-19T00:00:00+02:00;2014-11-03T00:00:00+01:00;Corse;Corse;2014-2015
Vacances d'Été;Élèves;2015-07-09T00:00:00+02:00;2015-09-03T00:00:00+02:00;Corse;Corse;2014-2015
Vacances de la Toussaint;-;2015-10-18T00:00:00+02:00;2015-11-02T00:00:00+01:00;Corse;Corse;2015-2016
Vacances de Printemps;-;2016-04-24T00:00:00+02:00;2016-05-09T00:00:00+02:00;Corse;Corse;2015-2016
Vacances de Noël;-;2016-12-18T00:00:00+01:00;2017-01-03T00:00:00+01:00;Corse;Corse;2016-2017
Vacances d'Hiver;-;2017-02-19T00:00:00+01:00;2017-03-06T00:00:00+01:00;Corse;Corse;2016-2017
Vacances de la Toussaint;-;2017-10-21T00:00:00+02:00;2017-11-06T00:00:00+01:00;Caen;Zone B;2017-2018
Vacances de la Toussaint;-;2017-10-21T00:00:00+02:00;2017-11-06T00:00:00+01:00;Nantes;Zone B;2017-2018
Vacances de la Toussaint;-;2017-10-21T00:00:00+02:00;2017-11-06T00:00:00+01:00;Rouen;Zone B;2017-2018
Vacances de la Toussaint;-;2017-10-21T00:00:00+02:00;2017-11-06T00:00:00+01:00;Guyane;Guyane;2017-2018
Vacances de Noël;-;2017-12-09T00:00:00+01:00;2018-01-08T00:00:00+01:00;Mayotte;Mayotte;2017-2018
Vacances de Noël;-;2017-12-23T00:00:00+01:00;2018-01-08T00:00:00+01:00;Clermont-Ferrand;Zone A;2017-2018
Vacances de Noël;-;2017-12-23T00:00:00+01:00;2018-01-08T00:00:00+01:00;Poitiers;Zone A;2017-2018
Vacances de Noël;-;2017-12-23T00:00:00+01:00;2018-01-08T00:00:00+01:00;Orléans-Tours;Zone B;2017-2018
Vacances de Noël;-;2017-12-23T00:00:00+01:00;2018-01-08T00:00:00+01:00;Reims;Zone B;2017-2018
Vacances de Noël;-;2017-12-23T00:00:00+01:00;2018-01-08T00:00:00+01:00;Rouen;Zone B;2017-2018
Vacances de Noël;-;2017-12-23T00:00:00+01:00;2018-01-08T00:00:00+01:00;Créteil;Zone C;2017-2018
Vacances de Noël;-;2017-12-23T00:00:00+01:00;2018-01-08T00:00:00+01:00;Montpellier;Zone C;2017-2018
Vacances de Noël;-;2017-12-23T00:00:00+01:00;2018-01-08T00:00:00+01:00;Paris;Zone C;2017-2018
Vacances de Noël;-;2017-12-23T00:00:00+01:00;2018-01-08T00:00:00+01:00;Toulouse;Zone C;2017-2018
Vacances de Noël;-;2017-12-23T00:00:00+01:00;2018-01-08T00:00:00+01:00;Versailles;Zone C;2017-2018
Vacances d'Été austral;-;2018-11-12T00:00:00+01:00;2020-05-01T01:00:00+02:00;Réunion;Réunion;2017-2018
Vacances d'Hiver;-;2018-02-17T00:00:00+01:00;2018-03-05T00:00:00+01:00;Montpellier;Zone C;2017-2018
